Open,High,Low,Close,Volume,Dividends,Stock Splits
8262.3095703125,8327.669921875,8257.66015625,8297.4697265625,3932570000,0,0
8247.150390625,8252.0498046875,8198.0,8241.26953125,3695280000,0,0
8241.5703125,8246.8896484375,8199.009765625,8219.33984375,3573590000,0,0
8154.18994140625,8161.509765625,8115.2998046875,8141.31982421875,3740590000,0,0
8139.27978515625,8188.02978515625,8102.10009765625,8180.0498046875,3472950000,0,0
8228.1904296875,8288.8203125,8228.1904296875,8288.7802734375,3576950000,0,0
8289.580078125,8296.6796875,8237.4599609375,8239.330078125,3513640000,0,0
8234.830078125,8239.8701171875,8138.240234375,8188.35009765625,3892800000,0,0
8137.919921875,8171.91015625,8083.1201171875,8166.3701171875,3832000000,0,0
8201.26953125,8220.990234375,8161.009765625,8206.9296875,3676890000,0,0
8206.9404296875,8305.6904296875,8182.14013671875,8281.1201171875,3572010000,0,0
8264.25,8264.5595703125,8168.85009765625,8216.5400390625,3822090000,0,0
8135.22998046875,8138.490234375,8078.83984375,8106.830078125,3938290000,0,0
8072.93994140625,8114.2998046875,8058.14990234375,8081.35009765625,3303740000,0,0
7998.81982421875,8019.580078125,7969.31982421875,7992.31005859375,3468980000,0,0
7970.0,7988.27001953125,7835.2900390625,7841.91015625,4631730000,0,0
7917.22021484375,7946.52978515625,7903.75,7912.85009765625,3743040000,0,0
7927.64013671875,8043.759765625,7925.4501953125,8039.9501953125,3618280000,0,0
8013.009765625,8013.009765625,7929.9501953125,7931.08984375,3631160000,0,0
7970.27978515625,7994.330078125,7916.3798828125,7949.56005859375,3574780000,0,0
8000.7900390625,8080.580078125,7992.39013671875,8064.0400390625,3456200000,0,0
8029.1298828125,8058.080078125,8013.93017578125,8030.3701171875,3463140000,0,0
8035.47998046875,8063.10009765625,7957.2001953125,7995.91015625,4180020000,0,0
8030.240234375,8063.919921875,8023.27978515625,8025.43994140625,3833320000,0,0
7936.419921875,7945.419921875,7877.72021484375,7940.740234375,3654860000,0,0
7952.0400390625,8006.7099609375,7949.7099609375,7988.009765625,3617100000,0,0
8037.169921875,8072.5,8028.97998046875,8070.7900390625,3998430000,0,0
8051.14013671875,8132.06982421875,8041.66015625,8123.06982421875,4034700000,0,0
8143.5400390625,8164.14990234375,8107.72998046875,8151.91015625,3645830000,0,0
8132.9501953125,8133.9599609375,8093.93994140625,8119.06005859375,3574010000,0,0
8115.06005859375,8211.650390625,8104.83984375,8164.0400390625,3807950000,0,0
8164.02001953125,8164.02001953125,8074.6298828125,8124.31982421875,3803860000,0,0
8123.02001953125,8126.2900390625,8035.06982421875,8049.89013671875,4004910000,0,0
8030.02978515625,8030.02978515625,7921.0,7933.2900390625,3975140000,0,0
7907.580078125,7964.16015625,7905.18994140625,7948.77001953125,3559390000,0,0
7901.14013671875,7901.14013671875,7800.89990234375,7887.259765625,4261670000,0,0
7802.52001953125,7871.5498046875,7749.41015625,7820.25,4288540000,0,0
7871.81005859375,7902.22998046875,7838.25,7852.75,3727990000,0,0
7799.60986328125,7886.56005859375,7787.6201171875,7815.8798828125,3869070000,0,0
7739.43017578125,7754.259765625,7699.64013671875,7705.43994140625,3688120000,0,0
7696.009765625,7714.83984375,7621.64013671875,7635.81005859375,4114040000,0,0
7656.77001953125,7701.68017578125,7592.759765625,7592.81982421875,4280420000,0,0
7588.22021484375,7595.68994140625,7480.41015625,7480.419921875,4664280000,0,0
7503.759765625,7521.1201171875,7408.9599609375,7427.740234375,4512470000,0,0
7443.8701171875,7543.60986328125,7438.72998046875,7542.97998046875,3786750000,0,0
7555.2998046875,7616.52001953125,7506.990234375,7542.580078125,4123680000,0,0
7492.91015625,7547.06005859375,7404.89013671875,7540.89990234375,4108330000,0,0
7558.7900390625,7573.43017578125,7487.68017578125,7552.33984375,3937670000,0,0
7543.330078125,7567.35986328125,7514.419921875,7534.330078125,2872660000,0,0
7583.39990234375,7634.64013671875,7565.91015625,7615.02978515625,3441640000,0,0
7543.35986328125,7543.35986328125,7463.740234375,7471.39990234375,3534290000,0,0
7477.68994140625,7512.52001953125,7387.4501953125,7463.9599609375,4557620000,0,0
7368.41015625,7368.419921875,7286.77978515625,7292.22998046875,0,0,0
7302.7900390625,7320.6298828125,7222.8798828125,7285.52978515625,4011960000,0,0
7270.39990234375,7347.68017578125,7264.75,7338.6201171875,3403230000,0,0
7389.919921875,7517.4599609375,7389.919921875,7517.4599609375,4268360000,0,0
7584.06982421875,7614.93017578125,7509.18994140625,7519.830078125,4258140000,0,0
7480.009765625,7554.56005859375,7451.43017578125,7553.77001953125,3497190000,0,0
7609.33984375,7623.91015625,7454.16015625,7459.2900390625,3537530000,0,0
7459.27978515625,7558.740234375,7456.919921875,7557.81982421875,3442920000,0,0
7533.60009765625,7577.7099609375,7483.35009765625,7506.419921875,3506510000,0,0
7515.93994140625,7608.2900390625,7499.7900390625,7582.81982421875,3687720000,0,0
7613.0400390625,7666.009765625,7604.2099609375,7664.259765625,4401570000,0,0
7630.7998046875,7680.5400390625,7606.75,7662.2900390625,3259430000,0,0
7704.1201171875,7797.47998046875,7703.56005859375,7766.259765625,3815350000,0,0
7770.27001953125,7800.6201171875,7706.0498046875,7757.919921875,3695700000,0,0
7754.31982421875,7765.7001953125,7560.5400390625,7566.10986328125,4094470000,0,0
7609.85986328125,7632.89013671875,7578.68017578125,7616.58984375,5271490000,0,0
7540.2099609375,7540.2099609375,7465.72998046875,7491.8701171875,3501820000,0,0
7502.490234375,7548.47021484375,7464.240234375,7527.080078125,3412940000,0,0
